line_num,word_num,left,top,text,conf
0,0,0,0,,-1.0
0,0,83,281,,-1.0
0,0,87,281,,-1.0
1,0,464,281,,-1.0
1,1,464,281,Contents,96.617577
2,0,83,568,,-1.0
2,1,83,568,ae,14.695236
2,2,437,568,re,18.841026
3,0,120,609,,-1.0
3,1,120,609,Volume,96.476707
3,2,252,612,|:,88.119774
3,3,284,612,Beginnings,96.467567
3,4,472,612,Through,96.087639
3,5,624,614,the,96.622353
3,6,690,615,Harlem,96.220932
3,7,817,617,Renaissance,96.479263
4,0,89,681,,-1.0
4,1,89,681,PREPACE,3.225601
4,2,213,682,xxitt,1.237122
5,0,87,726,,-1.0
5,1,87,726,ACKNOWLEDGMENTS,31.425949
5,2,363,726,xxxi,31.425949
6,0,89,772,,-1.0
6,1,89,772,INTRODUCTION:,80.693138
6,2,290,773,TALKING,95.585373
6,3,408,774,BOOKS,93.2994
6,4,506,779,xu,22.422455
7,0,308,883,,-1.0
7,1,308,883,The,96.950195
7,2,381,885,Vernacular,96.475075
7,3,567,886,"Tradition,",96.475075
7,4,736,888,Part,96.188866
7,5,816,889,|,94.071861
8,0,89,953,,-1.0
8,1,89,953,INTRODUCTION,95.056595
8,2,295,953,3,94.400726
9,0,89,1015,,-1.0
9,1,89,1015,SpPiniTuats,0.0
9,2,1023,1038,”,39.137642
10,0,123,1062,,-1.0
10,1,123,1062,City,96.170364
10,2,180,1062,Called,95.928566
10,3,266,1065,Heaven,94.582581
10,4,362,1069,©,40.181717
10,5,395,1068,12,82.203583
11,0,125,1099,,-1.0
11,1,125,1099,|,70.429733
11,2,143,1099,Know,93.281502
11,3,218,1099,Moon-Rise,84.937363
11,4,366,1104,13,84.270401
12,0,125,1134,,-1.0
12,1,125,1134,Evchicl,40.333389
12,2,217,1136,Saw,95.707207
12,3,272,1135,de,94.78524
12,4,308,1136,Wheel,94.040375
12,5,392,1141,©,55.862656
12,6,424,1140,13,77.443893
13,0,125,1170,,-1.0
13,1,125,1170,I'm,83.362106
13,2,167,1170,a-Rollin’¢,0.0
13,3,307,1176,14,78.648438
14,0,123,1206,,-1.0
14,1,123,1206,Go,96.588913
14,2,168,1207,"Down,",96.265953
14,3,254,1208,Moses,88.322975
14,4,336,1213,*,0.0
14,5,368,1212,14,90.06292
15,0,125,1242,,-1.0
15,1,125,1242,Been,96.016129
15,2,192,1245,in,96.016129
15,3,222,1242,the,95.150246
15,4,268,1245,Storm,94.237183
15,5,348,1245,So,95.946991
15,6,388,1245,Long,92.44072
15,7,455,1250,*,24.183937
15,8,487,1249,15,92.912224
16,0,124,1279,,-1.0
16,1,124,1279,Swing,96.439606
16,2,205,1279,"Low,",95.999733
16,3,268,1281,Sweet,95.659698
16,4,345,1280,Chariot,89.371475
16,5,445,1286,©,59.219254
16,6,477,1285,16,88.368019
17,0,123,1314,,-1.0
17,1,123,1314,Steal,94.388344
17,2,190,1316,Away,96.36586
17,3,260,1320,to,96.700348
17,4,289,1316,Jesus,82.33046
17,5,360,1321,©,50.455284
17,6,392,1320,16,89.471092
18,0,125,1350,,-1.0
18,1,125,1350,Didn't,34.130348
18,2,206,1351,My,96.976624
18,3,251,1351,Lord,75.109154
18,4,316,1352,Deliver,93.305191
18,5,408,1353,Danicl?,87.04834
18,6,506,1359,¢,67.879288
18,7,537,1357,17,94.160538
19,0,123,1385,,-1.0
19,1,123,1385,God's,62.100761
19,2,198,1394,a.,64.782974
19,3,221,1386,Gonna,65.788147
19,4,308,1388,‘Trouble,77.530167
19,5,407,1388,the,96.529732
19,6,453,1390,Water,92.311081
19,7,531,1395,*,60.619205
19,8,563,1395,18,93.933609
20,0,123,1422,,-1.0
20,1,123,1423,Soon,91.797295
20,2,192,1424,|,52.670166
20,3,209,1422,Will,90.299339
20,4,268,1423,Be,96.692215
20,5,307,1424,Done,87.374397
20,6,380,1418,¢,13.07869
20,7,410,1428,18,94.196228
21,0,123,1458,,-1.0
21,1,123,1458,Come,96.60717
21,2,201,1458,Sunday,83.694824
21,3,296,1464,*,20.243111
21,4,329,1464,19,94.124382
22,0,87,1519,,-1.0
22,1,87,1519,Secucar,20.953819
22,2,238,1521,Ruymes,83.24131
22,3,373,1530,ano,46.430038
22,4,447,1523,Soncs,86.839699
22,5,1017,1539,20,90.558838
23,0,124,1563,,-1.0
23,1,124,1563,(We,74.738083
23,2,178,1565,ruise,80.636818
23,3,241,1563,de,96.497543
23,4,276,1564,wheat},79.094849
23,5,372,1569,21,89.494293
24,0,124,1599,,-1.0
24,1,124,1599,Me,95.123215
24,2,169,1599,and,95.123215
24,3,221,1600,My,95.158607
24,4,266,1601,Captain,91.983093
24,5,377,1604,21,94.720268
25,0,124,1635,,-1.0
25,1,124,1635,Promises,96.733589
25,2,238,1635,of,96.818901
25,3,270,1637,Freedom,94.362396
25,4,389,1641,22,94.362396
26,0,123,1671,,-1.0
26,1,123,1671,No,94.973442
26,2,167,1672,More,94.973442
26,3,236,1673,Auction,96.470451
26,4,339,1672,Block,89.092056
26,5,412,1679,*,29.414299
26,6,441,1677,23,94.781845
27,0,121,1706,,-1.0
27,1,121,1706,Jack,96.680336
27,2,180,1707,and,96.342781
27,3,233,1707,Dinah,95.818687
27,4,313,1709,Want,96.179916
27,5,386,1709,Freedom,95.028069
27,6,504,1713,23,95.028069
28,0,124,1742,,-1.0
28,1,124,1742,"Run,",96.344841
28,2,189,1743,"Nigger,",95.951797
28,3,282,1744,Run,93.893478
28,4,347,1748,24,93.893478
29,0,87,1807,,-1.0
29,1,87,1808,[¢,81.110016
29,2,108,1807,indicates,54.094063
29,3,199,1807,audio,57.660904
29,4,255,1803,veles,57.870861
29,5,302,1803,tion,73.459412
29,6,345,1809,avwileble,28.039825
29,7,432,1815,om,81.16127
29,8,462,1810,the,92.830391
29,9,498,1810,SiudvSpace},50.862946
30,0,1026,1874,,-1.0
30,1,1026,1874,ix,51.382504
0,0,0,0,,-1.0
0,0,112,72,,-1.0
0,0,112,72,,-1.0
1,0,112,72,,-1.0
1,1,112,79,»,0.0
1,2,159,75,|,77.556168
1,3,200,72,CONTENTS,77.556168
2,0,147,142,,-1.0
2,1,147,142,Another,95.977509
2,2,252,144,Man,95.977509
2,3,316,144,Done,96.534195
2,4,386,144,Gone,92.374863
2,5,459,148,*,73.655327
2,6,487,146,24,96.992561
3,0,147,179,,-1.0
3,1,147,179,You,96.643646
3,2,200,179,May,96.643646
3,3,257,179,Go,96.331062
3,4,302,179,But,96.954987
3,5,350,179,This,96.907387
3,6,411,179,Will,96.894234
3,7,471,179,Bring,96.285126
3,8,542,179,You,96.965546
3,9,595,179,Back,95.677902
3,10,660,184,©,46.311165
3,11,689,183,25,95.947838
4,0,114,244,,-1.0
